iter	Logloss
0	0.6614950222
1	0.6257038032
2	0.5867614746
3	0.5518422445
4	0.5197580295
5	0.4938702393
6	0.4567038981
7	0.4402227444
8	0.421702474
9	0.4070581733
10	0.3942007107
11	0.3798650445
12	0.3723746067
13	0.3626613363
14	0.3528660753
15	0.3406419881
16	0.333171285
17	0.3213336521
18	0.3102457004
19	0.3050536431
20	0.3000726318
21	0.291200765
22	0.2834140693
23	0.2780592516
24	0.2709111871
25	0.2679361301
26	0.2646033732
27	0.2606389872
28	0.2573634169
29	0.2512202284
30	0.2458424038
31	0.2409331936
32	0.237693634
33	0.2326939731
34	0.2294597711
35	0.2254323154
36	0.2230567763
37	0.2203451877
38	0.2172858175
39	0.2138197496
40	0.2113907539
41	0.2094789632
42	0.2072705756
43	0.2056506178
44	0.2028592088
45	0.2012927416
46	0.1998235745
47	0.196340332
48	0.1933127509
49	0.1909098646
50	0.1878319634
51	0.1858757358
52	0.1833736165
53	0.1808547295
54	0.1787057495
55	0.1766962857
56	0.1756597053
57	0.1730316671
58	0.1712208049
59	0.1704775323
60	0.1685098945
61	0.1673242527
62	0.1662529161
63	0.163777788
64	0.1629789225
65	0.1616948615
66	0.1603489516
67	0.1592223952
68	0.1575258552
69	0.1549386258
70	0.1537569851
71	0.1510068427
72	0.1496470303
73	0.1478004964
74	0.1468243747
75	0.1457878113
76	0.1434961955
77	0.1419456991
78	0.140331387
79	0.1395271725
80	0.1387758721
81	0.1383635118
82	0.1378040568
83	0.1359312609
84	0.1343881226
85	0.133729282
86	0.1325133769
87	0.1312940131
88	0.1303314039
89	0.1297380744
90	0.1283029429
91	0.1273951382
92	0.1263366021
93	0.1246188524
94	0.1242153252
95	0.1235766178
96	0.1222708723
97	0.1219584825
98	0.1211150275
99	0.1196201579
100	0.1188539971
101	0.1176809692
102	0.1170278592
103	0.1163471137
104	0.1155681017
105	0.114711558
106	0.1133144379
107	0.1121159787
108	0.1113352119
109	0.1100264401
110	0.1098893738
111	0.1084685516
112	0.1083236864
113	0.1075558472
114	0.1072052341
115	0.1064832052
116	0.10530788
117	0.1038826752
118	0.1023895433
119	0.1018365139
120	0.100451533
121	0.09999440511
122	0.09920127021
123	0.09834162394
124	0.09821727329
125	0.09767216153
126	0.09668943617
127	0.09579275343
128	0.09491378784
129	0.094300393
130	0.09378215366
131	0.0932470025
132	0.0925620185
133	0.09182756212
134	0.09041800605
135	0.0891912757
136	0.0884143575
137	0.08781666226
138	0.08747795953
139	0.08702331543
140	0.08626124064
141	0.08583379957
142	0.08546506246
143	0.08512342665
144	0.08473366631
145	0.08394922045
146	0.08335098267
147	0.08273996989
148	0.08222239176
149	0.0816692098
150	0.08052163018
151	0.0797940233
152	0.07865798102
153	0.07841846042
154	0.07832395766
155	0.07757626004
156	0.07663528442
157	0.07610071818
158	0.07572010464
159	0.07479142083
160	0.07425487094
161	0.07352942573
162	0.07330634223
163	0.07274044461
164	0.07267081367
165	0.07220243666
166	0.07183170742
167	0.07163975186
168	0.07127332899
169	0.07111361186
170	0.07064598931
171	0.07023617215
172	0.06983721415
173	0.06887415992
174	0.06825286018
175	0.06739496443
176	0.06726529015
177	0.06681532966
178	0.0664641571
179	0.06594967312
180	0.06533880446
181	0.06489870283
182	0.0646765603
183	0.06396892124
184	0.06337504493
185	0.06333452861
186	0.06262019687
187	0.06247423808
188	0.06214771695
189	0.06189641317
190	0.06151595222
191	0.0613845147
192	0.06102249146
193	0.06081463284
194	0.06038451725
195	0.06008327908
196	0.05979786767
197	0.05934443156
198	0.05896205902
199	0.05861879561
